box_0_x,box_0_z,box_0_l,box_0_h,box_c_l,box_c_h,box_1_x,box_1_z,box_1_l,box_1_h,a_x,a_z,reward,efficiency,collision_penalty,stack_penalty
-0.121,0.069,0.128,0.139,0.176,0.136,-10.0,-10.0,0.0,0.0,-0.09999999999999998,0.4,51.061,85.103,0,0
-0.121,0.069,0.128,0.139,0.197,0.121,-0.1,0.206,0.176,0.136,-0.09999999999999998,0.4,-18.139,19.767,-100.0,-50.0
0.286,0.056,0.194,0.113,0.183,0.108,-10.0,-10.0,0.0,0.0,0.25,0.75,47.833,79.723,0,0
0.285,0.056,0.194,0.113,0.195,0.143,0.249,0.166,0.183,0.108,0.25,0.75,47.142,78.571,0,0
0.096,0.082,0.126,0.165,0.134,0.161,-10.0,-10.0,0.0,0.0,0.09999999999999998,0.6,56.989,94.983,0,0
0.096,0.082,0.126,0.165,0.148,0.108,0.098,0.245,0.134,0.161,0.09999999999999998,0.6,48.408,80.68,0,0
0.349,0.084,0.106,0.17,0.143,0.159,-10.0,-10.0,0.0,0.0,0.35,0.85,50.478,84.131,0,0
0.348,0.084,0.106,0.17,0.186,0.13,0.348,0.249,0.143,0.159,0.35,0.85,41.066,68.444,0,0
0.088,0.075,0.188,0.151,0.166,0.106,-10.0,-10.0,0.0,0.0,0.09999999999999998,0.6,55.198,91.998,0,0
0.088,0.075,0.188,0.151,0.117,0.125,0.099,0.203,0.166,0.106,0.09999999999999998,0.6,45.525,75.875,0,0
