box_0_x,box_0_z,box_0_l,box_0_h,box_c_l,box_c_h,box_1_x,box_1_z,box_1_l,box_1_h,a_x,a_z,reward,efficiency,collision_penalty,stack_penalty
-0.391,0.082,0.16,0.166,0.116,0.151,-10.0,-10.0,0.0,0.0,-0.45,0.65,41.85,69.75,0,0
-0.391,0.082,0.16,0.166,0.12,0.183,-0.449,0.241,0.116,0.151,-0.45,0.9,-5.223,7.961,0,-50.0
0.0,0.083,0.169,0.168,0.128,0.128,-10.0,-10.0,0.0,0.0,0.09999999999999998,0.5,33.19,71.984,0,-50.0
0.0,0.083,0.169,0.168,0.131,0.12,0.173,0.063,0.128,0.128,-0.15000000000000002,0.95,31.206,68.677,0,-50.0
0.085,0.069,0.163,0.139,0.154,0.141,-10.0,-10.0,0.0,0.0,0.09999999999999998,0.5,44.632,74.387,0,0
0.085,0.069,0.163,0.139,0.131,0.16,0.112,0.209,0.154,0.141,-0.25,0.3,-4.292,19.512,-30.0,-50.0
-0.157,0.097,0.179,0.196,0.19,0.137,-10.0,-10.0,0.0,0.0,-0.04999999999999999,0.65,4.027,23.379,0,-50.0
-0.157,0.097,0.179,0.196,0.114,0.117,-0.353,0.068,0.19,0.137,-0.15000000000000002,0.7,10.748,17.915,0,0
0.185,0.099,0.181,0.199,0.187,0.116,-10.0,-10.0,0.0,0.0,0.19999999999999996,1.0,0.299,17.166,0,-50.0
0.185,0.099,0.181,0.199,0.133,0.148,-0.106,0.057,0.187,0.116,-0.15000000000000002,0.7,2.816,21.361,0,-50.0
-0.279,0.071,0.106,0.144,0.133,0.112,-10.0,-10.0,0.0,0.0,-0.2,0.5,0.823,18.04,0,-50.0
-0.28,0.071,0.106,0.144,0.197,0.185,-0.501,0.055,0.133,0.112,0.0,0.95,1.676,19.461,0,-50.0
0.278,0.098,0.161,0.197,0.132,0.176,-10.0,-10.0,0.0,0.0,0.15000000000000002,0.95,25.452,59.087,0,-50.0
0.278,0.098,0.161,0.197,0.14,0.154,0.003,0.065,0.132,0.176,0.15000000000000002,0.4,35.946,59.91,0,0
0.434,0.09,0.138,0.182,0.166,0.165,-10.0,-10.0,0.0,0.0,0.35,0.6,42.849,88.083,0,-50.0
0.434,0.09,0.138,0.182,0.141,0.166,0.264,0.082,0.166,0.165,0.35,0.9,37.951,63.252,0,0
-0.385,0.059,0.168,0.119,0.14,0.162,-10.0,-10.0,0.0,0.0,-0.45,0.35,40.576,67.627,0,0
-0.386,0.059,0.168,0.119,0.144,0.114,-0.449,0.199,0.14,0.162,-0.45,0.9,-2.812,11.98,0,-50.0
-0.341,0.06,0.116,0.121,0.121,0.138,-10.0,-10.0,0.0,0.0,-0.35,0.35,50.823,84.705,0,0
-0.341,0.06,0.116,0.121,0.172,0.195,-0.336,0.189,0.121,0.138,-0.45,0.9,-4.936,8.439,0,-50.0
0.02,0.055,0.113,0.112,0.149,0.153,-10.0,-10.0,0.0,0.0,0.050000000000000044,0.35,40.832,68.054,0,0
0.02,0.055,0.113,0.112,0.199,0.109,0.062,0.188,0.149,0.153,0.050000000000000044,0.85,39.682,66.137,0,0
0.0,0.068,0.187,0.137,0.166,0.177,-10.0,-10.0,0.0,0.0,0.0,0.65,54.085,90.142,0,0
0.0,0.068,0.187,0.137,0.112,0.125,0.0,0.225,0.166,0.177,-0.25,0.3,9.291,42.153,-30.0,-50.0
-0.19,0.058,0.142,0.117,0.119,0.187,-10.0,-10.0,0.0,0.0,-0.09999999999999998,1.0,-1.525,14.124,0,-50.0
-0.191,0.058,0.142,0.117,0.144,0.121,-0.479,0.059,0.119,0.187,-0.45,0.95,1.599,19.332,0,-50.0
0.263,0.093,0.108,0.188,0.196,0.132,-10.0,-10.0,0.0,0.0,0.19999999999999996,1.0,30.143,66.906,0,-50.0
0.262,0.093,0.108,0.188,0.13,0.167,0.125,0.097,0.196,0.132,0.19999999999999996,0.85,31.79,52.985,0,0
0.284,0.098,0.1,0.197,0.193,0.197,-10.0,-10.0,0.0,0.0,0.25,1.0,43.835,73.059,0,0
0.284,0.098,0.1,0.197,0.199,0.164,0.247,0.295,0.193,0.197,0.44999999999999996,0.85,21.655,52.759,0,-50.0
0.258,0.068,0.159,0.137,0.182,0.196,-10.0,-10.0,0.0,0.0,0.15000000000000002,0.95,33.038,71.73,0,-50.0
0.258,0.068,0.159,0.137,0.157,0.151,0.005,0.09,0.182,0.196,0.15000000000000002,0.4,32.156,53.594,0,0
0.147,0.069,0.136,0.139,0.134,0.122,-10.0,-10.0,0.0,0.0,0.19999999999999996,0.5,42.589,70.983,0,0
0.147,0.069,0.136,0.139,0.197,0.19,0.199,0.199,0.134,0.122,-0.25,0.3,-10.859,8.568,-30.0,-50.0
0.128,0.099,0.123,0.199,0.162,0.178,-10.0,-10.0,0.0,0.0,0.15000000000000002,0.95,-3.209,11.318,0,-50.0
0.126,0.099,0.123,0.199,0.181,0.129,-0.337,0.049,0.162,0.178,-0.15000000000000002,0.7,-0.205,16.324,0,-50.0
0.278,0.091,0.17,0.183,0.127,0.129,-10.0,-10.0,0.0,0.0,0.15000000000000002,0.95,-2.832,11.946,0,-50.0
0.278,0.091,0.17,0.183,0.151,0.121,-0.281,0.049,0.127,0.129,-0.09999999999999998,0.3,-0.07,16.55,0,-50.0
-0.216,0.075,0.123,0.151,0.111,0.157,-10.0,-10.0,0.0,0.0,-0.2,0.35,-4.175,9.707,0,-50.0
-0.217,0.075,0.123,0.151,0.199,0.123,-0.583,0.055,0.111,0.157,-0.15000000000000002,0.7,-0.439,15.934,0,-50.0
-0.052,0.094,0.1,0.189,0.1,0.101,-10.0,-10.0,0.0,0.0,0.050000000000000044,0.6,-5.72,7.133,0,-50.0
-0.053,0.094,0.1,0.189,0.109,0.162,-0.368,0.05,0.1,0.101,-0.15000000000000002,0.7,-3.238,11.27,0,-50.0
-0.304,0.062,0.147,0.126,0.129,0.119,-10.0,-10.0,0.0,0.0,-0.2,0.35,-0.988,15.02,0,-50.0
-0.305,0.062,0.147,0.126,0.114,0.12,-0.547,0.064,0.129,0.119,-0.45,0.95,-2.434,12.61,0,-50.0
-0.327,0.057,0.133,0.116,0.185,0.143,-10.0,-10.0,0.0,0.0,-0.35,0.35,45.658,76.097,0,0
-0.327,0.057,0.133,0.116,0.195,0.131,-0.337,0.187,0.185,0.143,-0.45,0.65,-2.846,11.923,0,-50.0
0.416,0.089,0.178,0.179,0.143,0.195,-10.0,-10.0,0.0,0.0,0.35,0.6,-1.232,14.612,0,-50.0
0.416,0.089,0.178,0.179,0.101,0.175,-0.103,0.049,0.143,0.195,0.0,0.65,1.293,18.823,0,-50.0
-0.25,0.055,0.171,0.112,0.144,0.143,-10.0,-10.0,0.0,0.0,-0.2,0.3,43.016,71.694,0,0
-0.251,0.055,0.171,0.112,0.177,0.153,-0.2,0.183,0.144,0.143,-0.25,0.3,-2.81,11.983,0,-50.0
-0.098,0.058,0.193,0.117,0.182,0.194,-10.0,-10.0,0.0,0.0,-0.04999999999999999,0.3,3.94,23.235,0,-50.0
-0.1,0.058,0.193,0.117,0.142,0.114,-0.501,0.049,0.182,0.194,0.35,0.35,0.379,17.299,0,-50.0
-0.384,0.096,0.101,0.193,0.134,0.115,-10.0,-10.0,0.0,0.0,-0.45,0.6,37.298,78.831,0,-50.0
-0.385,0.096,0.101,0.193,0.185,0.181,-0.495,0.066,0.134,0.115,-0.35,0.65,0.698,17.831,0,-50.0
-0.35,0.061,0.151,0.123,0.133,0.139,-10.0,-10.0,0.0,0.0,-0.35,0.35,0.725,17.876,0,-50.0
-0.354,0.061,0.151,0.123,0.18,0.156,-0.65,0.069,0.133,0.139,0.0,0.95,9.088,31.814,0,-50.0
-0.369,0.069,0.19,0.139,0.106,0.108,-10.0,-10.0,0.0,0.0,-0.45,0.6,39.102,65.171,0,0
-0.369,0.069,0.19,0.139,0.182,0.136,-0.449,0.192,0.106,0.108,-0.45,0.9,-2.359,12.734,0,-50.0
-0.033,0.062,0.165,0.126,0.183,0.146,-10.0,-10.0,0.0,0.0,0.0,0.3,9.194,25.324,-30.0,0
0.02,0.049,0.165,0.126,0.15,0.191,0.09,0.071,0.183,0.146,-0.25,0.3,-1.032,14.946,0,-50.0
0.358,0.092,0.152,0.185,0.129,0.151,-10.0,-10.0,0.0,0.0,0.35,0.6,-4.106,9.823,0,-50.0
0.358,0.092,0.152,0.185,0.184,0.119,-0.019,0.064,0.129,0.151,0.15000000000000002,0.4,-1.42,14.3,0,-50.0
0.176,0.099,0.101,0.199,0.129,0.166,-10.0,-10.0,0.0,0.0,0.15000000000000002,0.95,46.779,77.965,0,0
0.176,0.099,0.101,0.199,0.191,0.171,0.149,0.281,0.129,0.166,-0.25,0.3,-1.998,23.336,-30.0,-50.0
-0.058,0.095,0.122,0.191,0.127,0.116,-10.0,-10.0,0.0,0.0,-0.04999999999999999,0.65,-4.338,9.435,0,-50.0
-0.06,0.095,0.122,0.191,0.145,0.183,-0.398,0.063,0.127,0.116,-0.25,1.0,-0.446,15.923,0,-50.0
0.054,0.084,0.11,0.169,0.128,0.172,-10.0,-10.0,0.0,0.0,0.09999999999999998,0.5,28.143,63.573,0,-50.0
0.053,0.084,0.11,0.169,0.129,0.156,0.21,0.086,0.128,0.172,0.09999999999999998,0.7,30.547,50.912,0,0
0.414,0.086,0.124,0.173,0.115,0.125,-10.0,-10.0,0.0,0.0,0.44999999999999996,0.4,45.442,75.737,0,0
