box_0_x,box_0_z,box_0_l,box_0_h,box_c_l,box_c_h,box_1_x,box_1_z,box_1_l,box_1_h,a_x,a_z,reward,efficiency,collision_penalty,stack_penalty
0.172,0.06,0.128,0.122,0.113,0.167,-10.0,-10.0,0.0,0.0,0.19999999999999996,0.9,47.995,79.992,0,0
0.172,0.06,0.128,0.122,0.197,0.169,0.199,0.205,0.113,0.167,0.25,0.6,35.313,58.856,0,0
0.051,0.081,0.168,0.164,0.154,0.14,-10.0,-10.0,0.0,0.0,-0.04999999999999999,0.35,30.557,67.596,0,-50.0
0.051,0.081,0.168,0.164,0.126,0.101,-0.124,0.096,0.154,0.14,0.09999999999999998,0.6,29.639,49.399,0,0
0.005,0.096,0.163,0.193,0.143,0.105,-10.0,-10.0,0.0,0.0,-0.04999999999999999,0.45,44.556,74.26,0,0
0.005,0.096,0.163,0.193,0.104,0.128,-0.048,0.245,0.143,0.105,-0.04999999999999999,0.7,41.441,69.07,0,0
-0.408,0.083,0.135,0.167,0.113,0.166,-10.0,-10.0,0.0,0.0,-0.5,0.7,33.998,73.33,0,-50.0
-0.408,0.083,0.135,0.167,0.127,0.167,-0.587,0.056,0.113,0.166,-0.25,1.0,2.114,20.19,0,-50.0
-0.033,0.099,0.151,0.199,0.151,0.148,-10.0,-10.0,0.0,0.0,-0.04999999999999999,0.45,51.535,85.893,0,0
-0.033,0.099,0.151,0.199,0.106,0.1,-0.037,0.272,0.151,0.148,-0.04999999999999999,0.7,52.773,87.956,0,0
-0.067,0.052,0.113,0.105,0.16,0.105,-10.0,-10.0,0.0,0.0,-0.04999999999999999,1.0,50.133,83.555,0,0
-0.067,0.052,0.113,0.105,0.176,0.105,-0.05,0.157,0.16,0.105,-0.25,0.35,1.732,19.554,0,-50.0
0.227,0.074,0.154,0.15,0.14,0.171,-10.0,-10.0,0.0,0.0,0.25,0.4,1.063,18.439,0,-50.0
0.226,0.074,0.154,0.15,0.188,0.134,-0.053,0.085,0.14,0.171,0.5,0.35,0.105,16.843,0,-50.0
-0.419,0.078,0.136,0.157,0.106,0.105,-10.0,-10.0,0.0,0.0,-0.5,0.6,36.989,78.316,0,-50.0
-0.419,0.078,0.136,0.157,0.197,0.183,-0.557,0.052,0.106,0.105,-0.25,1.0,4.983,24.972,0,-50.0
-0.111,0.09,0.168,0.182,0.137,0.105,-10.0,-10.0,0.0,0.0,-0.04999999999999999,1.0,35.067,58.446,0,0
-0.111,0.09,0.168,0.182,0.187,0.179,-0.035,0.234,0.137,0.105,-0.15000000000000002,0.6,-4.361,9.398,0,-50.0
0.398,0.087,0.18,0.176,0.19,0.105,-10.0,-10.0,0.0,0.0,0.5,0.85,0.055,16.759,0,-50.0
0.398,0.087,0.18,0.176,0.12,0.176,0.002,0.052,0.19,0.105,0.19999999999999996,0.7,4.167,23.613,0,-50.0
0.02,0.095,0.13,0.192,0.184,0.137,-10.0,-10.0,0.0,0.0,-0.04999999999999999,0.45,23.997,56.663,0,-50.0
0.02,0.095,0.13,0.192,0.172,0.123,-0.258,0.068,0.184,0.137,-0.15000000000000002,0.95,32.556,54.261,0,0
-0.434,0.082,0.104,0.166,0.159,0.168,-10.0,-10.0,0.0,0.0,-0.5,0.7,21.954,53.258,0,-50.0
-0.435,0.082,0.104,0.166,0.126,0.177,-0.594,0.104,0.159,0.168,-0.25,1.0,0.386,17.311,0,-50.0
-0.019,0.085,0.125,0.172,0.173,0.191,-10.0,-10.0,0.0,0.0,-0.04999999999999999,0.45,46.593,77.656,0,0
-0.019,0.085,0.125,0.172,0.151,0.159,-0.039,0.267,0.173,0.191,-0.09999999999999998,1.0,35.049,75.082,0,-50.0
0.105,0.052,0.162,0.106,0.129,0.142,-10.0,-10.0,0.0,0.0,0.09999999999999998,0.85,45.846,76.41,0,0
0.104,0.052,0.162,0.106,0.185,0.118,0.112,0.176,0.129,0.142,0.44999999999999996,0.2,13.646,39.411,0,-50.0
0.0,0.074,0.14,0.149,0.121,0.104,-10.0,-10.0,0.0,0.0,0.0,0.8,55.606,92.678,0,0
0.0,0.074,0.14,0.149,0.137,0.148,0.0,0.2,0.121,0.104,-0.09999999999999998,0.5,27.503,62.505,0,-50.0
0.045,0.085,0.168,0.171,0.119,0.147,-10.0,-10.0,0.0,0.0,0.0,0.6,-4.286,9.522,0,-50.0
0.045,0.085,0.168,0.171,0.115,0.11,-0.381,0.059,0.119,0.147,-0.15000000000000002,0.45,-2.726,12.122,0,-50.0
-0.456,0.088,0.152,0.177,0.115,0.126,-10.0,-10.0,0.0,0.0,-0.5,0.5,-4.537,9.105,0,-50.0
-0.456,0.088,0.152,0.177,0.186,0.17,-0.867,0.057,0.115,0.126,-0.45,0.8,-0.398,16.002,0,-50.0
-0.045,0.051,0.122,0.103,0.141,0.124,-10.0,-10.0,0.0,0.0,-0.04999999999999999,1.0,47.993,79.99,0,0
-0.042,0.051,0.122,0.103,0.161,0.16,-0.034,0.164,0.141,0.124,-0.04999999999999999,0.35,-3.726,10.456,0,-50.0
-0.223,0.08,0.178,0.162,0.194,0.108,-10.0,-10.0,0.0,0.0,-0.45,1.0,29.342,65.571,0,-50.0
-0.223,0.08,0.178,0.162,0.152,0.168,-0.438,0.053,0.194,0.108,-0.25,1.0,28.194,46.991,0,0
0.222,0.07,0.105,0.141,0.135,0.105,-10.0,-10.0,0.0,0.0,0.19999999999999996,1.0,44.728,74.548,0,0
0.222,0.07,0.105,0.141,0.126,0.114,0.214,0.193,0.135,0.105,0.19999999999999996,0.35,-12.844,5.259,-30.0,-50.0
-0.151,0.063,0.138,0.128,0.184,0.138,-10.0,-10.0,0.0,0.0,-0.15000000000000002,0.5,52.093,86.823,0,0
-0.151,0.063,0.138,0.128,0.114,0.124,-0.149,0.196,0.184,0.138,-0.15000000000000002,0.6,-4.613,8.978,0,-50.0
-0.296,0.065,0.173,0.131,0.135,0.198,-10.0,-10.0,0.0,0.0,-0.35,0.6,-1.406,14.322,0,-50.0
-0.297,0.065,0.173,0.131,0.177,0.137,-0.648,0.098,0.135,0.198,-0.45,0.8,-3.493,10.844,0,-50.0
-0.419,0.06,0.137,0.121,0.198,0.122,-10.0,-10.0,0.0,0.0,-0.45,0.65,43.468,72.447,0,0
-0.419,0.06,0.137,0.121,0.135,0.144,-0.435,0.181,0.198,0.122,-0.25,1.0,1.186,18.644,0,-50.0
0.067,0.051,0.186,0.103,0.165,0.151,-10.0,-10.0,0.0,0.0,0.050000000000000044,0.65,48.408,80.681,0,0
0.066,0.051,0.186,0.103,0.165,0.108,0.061,0.178,0.165,0.151,-0.04999999999999999,0.35,4.286,33.811,-30.0,-50.0
0.241,0.088,0.16,0.177,0.104,0.146,-10.0,-10.0,0.0,0.0,0.30000000000000004,1.0,41.23,68.718,0,0
0.241,0.088,0.16,0.177,0.122,0.139,0.298,0.249,0.104,0.146,0.19999999999999996,0.35,-1.725,23.791,-30.0,-50.0
-0.264,0.09,0.122,0.182,0.198,0.139,-10.0,-10.0,0.0,0.0,-0.25,0.75,45.53,75.884,0,0
-0.265,0.09,0.122,0.182,0.172,0.154,-0.25,0.251,0.198,0.139,-0.25,1.0,-1.461,14.231,0,-50.0
0.422,0.053,0.174,0.107,0.111,0.165,-10.0,-10.0,0.0,0.0,0.44999999999999996,0.4,39.314,65.524,0,0
0.421,0.053,0.174,0.107,0.176,0.124,0.461,0.189,0.111,0.165,0.44999999999999996,0.5,38.727,64.546,0,0
0.08,0.054,0.113,0.11,0.104,0.177,-10.0,-10.0,0.0,0.0,0.09999999999999998,0.7,49.776,82.961,0,0
0.08,0.054,0.113,0.11,0.107,0.169,0.099,0.198,0.104,0.177,0.050000000000000044,0.45,-14.192,3.013,-30.0,-50.0
0.449,0.065,0.119,0.131,0.134,0.127,-10.0,-10.0,0.0,0.0,0.5,0.4,42.29,70.484,0,0
0.449,0.065,0.119,0.131,0.125,0.104,0.499,0.194,0.134,0.127,0.44999999999999996,0.5,40.341,67.235,0,0
-0.163,0.068,0.15,0.137,0.152,0.156,-10.0,-10.0,0.0,0.0,-0.15000000000000002,0.5,53.871,89.786,0,0
-0.163,0.068,0.15,0.137,0.179,0.121,-0.149,0.214,0.152,0.156,-0.15000000000000002,0.6,-3.229,11.284,0,-50.0
-0.167,0.091,0.145,0.184,0.166,0.185,-10.0,-10.0,0.0,0.0,-0.15000000000000002,0.5,-0.77,15.382,0,-50.0
-0.167,0.091,0.145,0.184,0.108,0.11,-0.62,0.049,0.166,0.185,-0.25,1.0,-3.769,10.385,0,-50.0
-0.249,0.093,0.104,0.187,0.196,0.158,-10.0,-10.0,0.0,0.0,-0.25,0.75,39.498,65.83,0,0
-0.25,0.093,0.104,0.187,0.157,0.168,-0.238,0.265,0.196,0.158,-0.25,1.0,-5.071,8.214,0,-50.0
0.462,0.075,0.158,0.151,0.199,0.151,-10.0,-10.0,0.0,0.0,0.5,0.85,40.754,67.924,0,0
0.462,0.075,0.158,0.151,0.125,0.15,0.51,0.226,0.199,0.151,0.44999999999999996,0.5,36.879,61.466,0,0
0.496,0.068,0.158,0.138,0.133,0.156,-10.0,-10.0,0.0,0.0,0.5,0.4,53.595,89.325,0,0
0.496,0.068,0.158,0.138,0.146,0.123,0.5,0.215,0.133,0.156,0.44999999999999996,0.5,40.548,67.581,0,0
-0.033,0.078,0.122,0.158,0.119,0.119,-10.0,-10.0,0.0,0.0,0.0,0.8,45.929,76.549,0,0
