box_0_x,box_0_z,box_0_l,box_0_h,box_c_l,box_c_h,box_1_x,box_1_z,box_1_l,box_1_h,a_x,a_z,reward,efficiency,collision_penalty,stack_penalty
-0.026,0.064,0.118,0.13,0.134,0.175,-10.0,-10.0,0.0,0.0,-0.04999999999999999,0.3,-2.385,22.69,-30.0,-50.0
-0.029,0.049,0.118,0.13,0.16,0.148,-0.203,0.066,0.134,0.175,0.0,0.9,7.25,28.751,0,-50.0
-0.244,0.093,0.163,0.187,0.186,0.168,-10.0,-10.0,0.0,0.0,-0.25,0.4,55.124,91.874,0,0
-0.244,0.093,0.163,0.187,0.197,0.127,-0.249,0.27,0.186,0.168,-0.2,0.75,-2.543,12.428,0,-50.0
0.222,0.051,0.186,0.103,0.179,0.166,-10.0,-10.0,0.0,0.0,0.15000000000000002,0.95,1.282,18.804,0,-50.0
0.22,0.051,0.186,0.103,0.141,0.109,-0.308,0.049,0.179,0.166,-0.09999999999999998,0.3,3.946,23.244,0,-50.0
0.412,0.065,0.153,0.131,0.152,0.118,-10.0,-10.0,0.0,0.0,0.30000000000000004,0.7,24.072,56.788,0,-50.0
0.412,0.065,0.153,0.131,0.138,0.192,0.068,0.058,0.152,0.118,0.15000000000000002,0.4,28.327,47.213,0,0
-0.445,0.064,0.177,0.129,0.171,0.135,-10.0,-10.0,0.0,0.0,-0.45,0.65,56.72,94.534,0,0
-0.445,0.064,0.177,0.129,0.175,0.196,-0.449,0.196,0.171,0.135,-0.45,0.9,-3.174,11.376,0,-50.0
-0.416,0.066,0.164,0.134,0.146,0.104,-10.0,-10.0,0.0,0.0,-0.5,0.5,35.204,58.674,0,0
-0.418,0.066,0.164,0.134,0.106,0.161,-0.484,0.185,0.146,0.104,-0.45,0.9,-5.21,7.982,0,-50.0
-0.124,0.091,0.165,0.183,0.189,0.184,-10.0,-10.0,0.0,0.0,-0.04999999999999999,0.65,26.074,60.125,0,-50.0
-0.124,0.091,0.165,0.183,0.118,0.1,0.223,0.091,0.189,0.184,0.09999999999999998,1.0,32.124,70.207,0,-50.0
0.413,0.077,0.187,0.156,0.138,0.196,-10.0,-10.0,0.0,0.0,0.35,0.6,41.413,69.022,0,0
0.413,0.077,0.187,0.156,0.128,0.12,0.35,0.253,0.138,0.196,0.44999999999999996,0.85,-1.106,14.823,0,-50.0
-0.416,0.075,0.128,0.152,0.121,0.129,-10.0,-10.0,0.0,0.0,-0.45,0.65,46.787,77.979,0,0
-0.416,0.075,0.128,0.152,0.118,0.153,-0.449,0.216,0.121,0.129,-0.45,0.9,-5.784,7.026,0,-50.0
-0.047,0.087,0.137,0.175,0.115,0.178,-10.0,-10.0,0.0,0.0,0.0,0.65,36.45,60.751,0,0
-0.047,0.087,0.137,0.175,0.189,0.171,0.01,0.263,0.115,0.178,-0.25,0.3,6.958,21.597,-30.0,0
