box_0_x,box_0_z,box_0_l,box_0_h,box_c_l,box_c_h,box_1_x,box_1_z,box_1_l,box_1_h,a_x,a_z,reward,efficiency,collision_penalty,stack_penalty
0.497,0.088,0.121,0.177,0.155,0.145,-1.0,-1.0,0.0,0.0,0.7,0.1,7.028600000000001,28.381,0,-10.0
0.496,0.088,0.121,0.177,0.133,0.165,0.69,0.072,0.155,0.1,0.7,0.6,5.0,25.0,0,-10.0
0.499,0.054,0.112,0.11,0.114,0.118,-1.0,-1.0,0.0,0.0,0.7,0.7,29.149399999999993,65.249,0,-10.0
0.499,0.054,0.112,0.11,0.134,0.103,0.684,0.058,0.114,0.1,0.2,0.3,19.2878,48.813,0,-10.0
0.498,0.056,0.171,0.114,0.19,0.184,-1.0,-1.0,0.0,0.0,0.9,0.5,13.325599999999998,38.876,0,-10.0
0.497,0.056,0.171,0.114,0.176,0.121,0.8,0.091,0.19,0.1,0.4,0.5,15.4082,42.347,0,-10.0
0.499,0.071,0.109,0.143,0.132,0.171,-1.0,-1.0,0.0,0.0,0.3,0.6,31.073,68.455,0,-10.0
0.462,0.071,0.109,0.143,0.167,0.129,0.299,0.085,0.132,0.1,0.6,0.1,-15.4044,24.326,-100.0,-10.0
0.499,0.057,0.134,0.116,0.103,0.141,-1.0,-1.0,0.0,0.0,0.7,0.6,28.162999999999997,63.605,0,-10.0
0.612,0.057,0.134,0.116,0.114,0.126,0.69,0.07,0.103,0.1,0.3,0.1,-25.7784,7.036,-100.0,-10.0
0.498,0.096,0.106,0.193,0.177,0.176,-1.0,-1.0,0.0,0.0,0.3,1.0,34.3118,73.853,0,-10.0
0.497,0.096,0.106,0.193,0.145,0.196,0.297,0.087,0.177,0.1,0.2,0.7,32.4494,70.749,0,-10.0
0.498,0.049,0.139,0.182,0.141,0.199,-1.0,-1.0,0.0,0.0,0.4,0.1,-15.5508,24.082,-100.0,-10.0
0.5,0.049,0.139,0.182,0.185,0.134,0.265,0.099,0.141,0.1,0.4,0.6,-1.5652000000000008,14.058,0,-10.0
0.499,0.092,0.113,0.185,0.123,0.102,-1.0,-1.0,0.0,0.0,0.3,0.7,23.3384,55.564,0,-10.0
0.497,0.092,0.113,0.185,0.124,0.133,0.299,0.05,0.123,0.1,0.3,0.6,38.2014,63.669,0,0.0
0.514,0.069,0.11,0.136,0.146,0.156,-1.0,-1.0,0.0,0.0,0.5,0.3,1.5832000000000015,35.972,-100.0,0.0
0.514,0.067,0.11,0.136,0.196,0.196,0.801,0.077,0.146,0.1,0.1,0.3,4.023199999999999,23.372,0,-10.0
0.505,0.076,0.185,0.153,0.161,0.106,-1.0,-1.0,0.0,0.0,0.6,0.3,-16.599600000000002,22.334,-100.0,-10.0
0.503,0.076,0.185,0.153,0.198,0.122,0.822,0.052,0.161,0.1,0.9,0.6,4.0298,23.383,0,-10.0
0.499,0.058,0.16,0.118,0.173,0.158,-1.0,-1.0,0.0,0.0,0.6,0.9,27.319399999999995,62.199,0,-10.0
0.542,0.049,0.16,0.118,0.102,0.132,0.723,0.049,0.173,0.1,0.1,0.0,-13.737000000000002,27.105,-100.0,-10.0
0.499,0.079,0.136,0.16,0.117,0.101,-1.0,-1.0,0.0,0.0,1.0,0.5,4.749799999999999,24.583,0,-10.0
0.498,0.079,0.136,0.16,0.111,0.107,0.822,0.05,0.117,0.1,0.2,0.2,2.196200000000001,20.327,0,-10.0
