box_0_x,box_0_z,box_0_l,box_0_h,box_c_l,box_c_h,box_1_x,box_1_z,box_1_l,box_1_h,a_x,a_z,reward,efficiency,collision_penalty,stack_penalty
-0.217,0.063,0.188,0.127,0.117,0.13,-10.0,-10.0,0.0,0.0,-0.2,0.3,-2.308,12.82,0,-50.0
-0.218,0.063,0.188,0.127,0.114,0.151,-0.563,0.058,0.117,0.13,-0.35,0.65,-2.04,13.266,0,-50.0
0.369,0.066,0.169,0.133,0.153,0.179,-10.0,-10.0,0.0,0.0,0.35,0.85,0.562,17.604,0,-50.0
0.368,0.066,0.169,0.133,0.122,0.186,-0.117,0.049,0.153,0.179,-0.2,0.1,-11.362,7.729,-30.0,-50.0
-0.891,0.049,0.195,0.178,0.162,0.166,-10.0,-10.0,0.0,0.0,-0.09999999999999998,0.9,1.873,3.123,0,0
-0.89,0.049,0.195,0.178,0.163,0.127,-0.1,0.082,0.162,0.166,0.15000000000000002,0.8,-8.609,2.317,0,-50.0
0.348,0.077,0.181,0.155,0.102,0.15,-10.0,-10.0,0.0,0.0,-0.25,0.6,12.063,36.773,0,-50.0
0.348,0.077,0.181,0.155,0.15,0.102,-0.25,0.074,0.102,0.15,-0.2,0.1,-4.55,9.083,0,-50.0
0.147,0.07,0.103,0.142,0.119,0.101,-10.0,-10.0,0.0,0.0,-0.2,0.1,8.192,30.32,0,-50.0
0.272,0.051,0.103,0.142,0.129,0.11,-0.138,0.049,0.119,0.101,-0.2,0.1,-9.01,11.65,-30.0,-50.0
0.232,0.064,0.11,0.13,0.108,0.153,-10.0,-10.0,0.0,0.0,0.25,0.75,51.22,85.367,0,0
0.232,0.064,0.11,0.13,0.167,0.173,0.249,0.206,0.108,0.153,0.19999999999999996,0.7,16.368,43.947,0,-50.0
-0.402,0.065,0.134,0.131,0.167,0.133,-10.0,-10.0,0.0,0.0,-0.45,0.05,15.475,25.793,0,0
-0.398,0.042,0.134,0.131,0.104,0.103,-0.446,0.066,0.167,0.133,-0.35,0.65,-3.708,10.486,0,-50.0
0.414,0.07,0.138,0.141,0.115,0.165,-10.0,-10.0,0.0,0.0,-0.2,1.0,-6.38,6.032,0,-50.0
0.413,0.07,0.138,0.141,0.173,0.106,-0.143,0.082,0.115,0.165,-0.2,0.1,-6.506,5.823,0,-50.0
0.401,0.084,0.144,0.169,0.175,0.132,-10.0,-10.0,0.0,0.0,-0.2,1.0,-2.162,13.062,0,-50.0
0.401,0.084,0.144,0.169,0.157,0.164,-0.042,0.065,0.175,0.132,-0.2,0.1,-3.491,10.848,0,-50.0
-0.134,0.089,0.171,0.18,0.157,0.137,-10.0,-10.0,0.0,0.0,-0.15000000000000002,0.35,11.367,35.613,0,-50.0
-0.135,0.089,0.171,0.18,0.12,0.129,-0.188,0.049,0.157,0.137,-0.45,0.25,3.109,31.85,-30.0,-50.0
0.185,0.07,0.15,0.142,0.198,0.151,-10.0,-10.0,0.0,0.0,0.19999999999999996,0.7,1.398,18.998,0,-50.0
0.184,0.07,0.15,0.142,0.134,0.12,-0.238,0.049,0.198,0.151,-0.2,0.1,-7.293,14.511,-30.0,-50.0
-0.311,0.114,0.139,0.192,0.15,0.158,-10.0,-10.0,0.0,0.0,-0.35,0.15,3.391,15.653,-30.0,0
-0.334,0.127,0.139,0.192,0.16,0.136,-0.229,0.078,0.15,0.158,-0.35,0.65,-2.138,13.102,0,-50.0
-0.095,0.088,0.14,0.177,0.199,0.113,-10.0,-10.0,0.0,0.0,-0.45,0.05,-4.844,8.592,0,-50.0
-0.095,0.088,0.14,0.177,0.177,0.16,-0.852,0.049,0.199,0.113,-0.35,0.65,-6.154,6.41,0,-50.0
0.086,0.068,0.198,0.138,0.123,0.153,-10.0,-10.0,0.0,0.0,0.09999999999999998,0.6,0.243,17.073,0,-50.0
