box_0_x,box_0_z,box_0_l,box_0_h,box_c_l,box_c_h,box_1_x,box_1_z,box_1_l,box_1_h,a_x,a_z,reward,efficiency,collision_penalty,stack_penalty
0.128,0.07,0.109,0.141,0.153,0.191,-10.0,-10.0,0.0,0.0,0.19999999999999996,0.7,41.33,85.55,0,-50.0
0.128,0.07,0.109,0.141,0.118,0.167,0.309,0.076,0.153,0.191,0.19999999999999996,0.7,32.955,54.925,0,0
0.437,0.072,0.1,0.145,0.11,0.193,-10.0,-10.0,0.0,0.0,0.44999999999999996,0.95,52.746,87.911,0,0
0.437,0.072,0.1,0.145,0.182,0.128,0.444,0.241,0.11,0.193,0.35,0.85,11.453,35.755,0,-50.0
0.169,0.053,0.197,0.107,0.101,0.117,-10.0,-10.0,0.0,0.0,0.19999999999999996,0.7,42.129,70.216,0,0
0.168,0.053,0.197,0.107,0.106,0.107,0.199,0.165,0.101,0.117,0.15000000000000002,0.65,13.644,39.408,0,-50.0
0.432,0.085,0.174,0.171,0.127,0.198,-10.0,-10.0,0.0,0.0,0.44999999999999996,0.95,48.425,80.709,0,0
0.432,0.085,0.174,0.171,0.192,0.158,0.444,0.269,0.127,0.198,0.35,0.85,15.735,42.893,0,-50.0
-0.258,0.053,0.128,0.108,0.192,0.146,-10.0,-10.0,0.0,0.0,-0.25,0.25,8.778,24.631,-30.0,0
-0.221,0.049,0.128,0.108,0.126,0.116,-0.185,0.162,0.192,0.146,-0.25,0.25,-0.847,15.254,0,-50.0
-0.375,0.078,0.116,0.157,0.159,0.128,-10.0,-10.0,0.0,0.0,-0.45,0.05,7.374,12.291,0,0
-0.524,0.057,0.116,0.157,0.13,0.105,-0.859,0.049,0.159,0.128,-0.4,0.05,1.851,3.085,0,0
0.435,0.053,0.187,0.107,0.111,0.111,-10.0,-10.0,0.0,0.0,0.44999999999999996,0.95,44.163,73.606,0,0
0.434,0.053,0.187,0.107,0.11,0.128,0.444,0.162,0.111,0.111,-0.3,0.1,3.291,22.153,0,-50.0
-0.245,0.049,0.193,0.152,0.185,0.145,-10.0,-10.0,0.0,0.0,0.050000000000000044,0.15,32.984,54.974,0,0
-0.252,0.049,0.193,0.152,0.103,0.112,-0.258,0.172,0.185,0.145,-0.45,0.05,-9.236,11.273,-30.0,-50.0
0.175,0.061,0.12,0.124,0.19,0.171,-10.0,-10.0,0.0,0.0,0.19999999999999996,0.7,4.003,23.339,0,-50.0
0.175,0.061,0.12,0.124,0.151,0.176,0.549,0.049,0.19,0.171,-0.3,0.1,-3.136,11.439,0,-50.0
-0.341,0.058,0.159,0.13,0.109,0.174,-10.0,-10.0,0.0,0.0,-0.35,0.15,-0.827,15.288,0,-50.0
-0.369,0.064,0.159,0.13,0.12,0.144,-0.642,0.086,0.109,0.174,-0.45,0.05,3.954,23.257,0,-50.0
0.014,0.062,0.157,0.125,0.158,0.182,-10.0,-10.0,0.0,0.0,-0.04999999999999999,0.45,-0.006,16.655,0,-50.0
0.013,0.062,0.157,0.125,0.137,0.122,0.399,0.049,0.158,0.182,0.19999999999999996,0.7,3.345,22.243,0,-50.0
-0.433,0.086,0.124,0.173,0.186,0.189,-10.0,-10.0,0.0,0.0,-0.45,0.05,5.378,25.631,0,-50.0
-0.582,0.061,0.124,0.173,0.129,0.115,-0.416,0.094,0.186,0.189,0.050000000000000044,0.6,1.93,3.218,0,0
-0.234,0.094,0.128,0.19,0.148,0.142,-10.0,-10.0,0.0,0.0,-0.25,0.25,7.654,39.425,-30.0,-50.0
-0.219,0.05,0.128,0.19,0.171,0.161,-0.224,0.073,0.148,0.142,0.050000000000000044,0.6,2.194,30.324,-30.0,-50.0
0.267,0.087,0.13,0.175,0.155,0.183,-10.0,-10.0,0.0,0.0,0.19999999999999996,0.7,25.442,59.071,0,-50.0
0.265,0.087,0.13,0.175,0.194,0.161,0.088,0.102,0.155,0.183,0.19999999999999996,0.7,13.224,38.707,0,-50.0
-0.442,0.077,0.167,0.156,0.148,0.174,-10.0,-10.0,0.0,0.0,-0.5,0.0,3.595,32.66,-30.0,-50.0
-0.608,0.049,0.167,0.156,0.105,0.197,-0.588,0.086,0.148,0.174,0.050000000000000044,0.6,-9.59,0.683,0,-50.0
0.462,0.057,0.139,0.115,0.125,0.181,-10.0,-10.0,0.0,0.0,0.44999999999999996,0.95,47.014,78.358,0,0
0.461,0.057,0.139,0.115,0.183,0.18,0.443,0.205,0.125,0.181,0.35,0.85,25.701,59.503,0,-50.0
0.125,0.068,0.153,0.138,0.143,0.106,-10.0,-10.0,0.0,0.0,0.09999999999999998,0.6,48.224,80.374,0,0
