box_0_x,box_0_z,box_0_l,box_0_h,box_c_l,box_c_h,box_1_x,box_1_z,box_1_l,box_1_h,a_x,a_z,reward,efficiency,collision_penalty,stack_penalty
0.26,0.076,0.1,0.154,0.178,0.188,-10.0,-10.0,0.0,0.0,0.45,0.47,36.243,77.072,0,-50.0
0.259,0.076,0.1,0.154,0.14,0.114,0.449,0.093,0.178,0.188,-0.16,0.51,15.571,42.619,0,-50.0
0.261,0.076,0.176,0.153,0.188,0.193,-10.0,-10.0,0.0,0.0,-0.4,0.13,2.253,20.423,0,-50.0
0.26,0.076,0.176,0.153,0.119,0.183,-0.184,0.049,0.188,0.193,0.09,0.49,3.664,22.775,0,-50.0
0.288,0.063,0.11,0.128,0.122,0.12,-10.0,-10.0,0.0,0.0,0.02,0.06,-19.809,16.985,-100.0,-50.0
0.288,0.063,0.11,0.128,0.146,0.143,0.233,0.049,0.122,0.12,0.2,0.63,1.449,19.083,0,-50.0
0.261,0.05,0.105,0.101,0.138,0.176,-10.0,-10.0,0.0,0.0,0.46,0.85,26.172,60.288,0,-50.0
0.117,0.05,0.105,0.101,0.198,0.159,0.414,0.068,0.138,0.176,0.21,0.11,-15.243,7.928,-100.0,0
