box_0_x,box_0_z,box_0_l,box_0_h,box_c_l,box_c_h,box_1_x,box_1_z,box_1_l,box_1_h,a_x,a_z,reward,efficiency,collision_penalty,stack_penalty
-0.371,0.076,0.143,0.144,0.158,0.117,-10.0,-10.0,0.0,0.0,-0.381,0.313,-1.589,47.351,-100.0,-50.0
-0.583,0.047,0.153,0.15,0.107,0.109,-0.379,0.05,0.151,0.114,-0.376,0.279,-16.159,23.068,-100.0,-50.0
-0.239,0.044,0.181,0.186,0.135,0.112,-10.0,-10.0,0.0,0.0,-0.273,0.355,15.816,76.361,-100.0,-50.0
-0.234,0.051,0.186,0.199,0.096,0.14,-0.276,0.043,0.14,0.102,-0.287,0.302,19.742,49.571,0,-50.0
-0.36,0.066,0.164,0.123,0.167,0.185,-10.0,-10.0,0.0,0.0,-0.358,0.355,57.807,96.346,0,0
-0.354,0.065,0.166,0.12,0.113,0.167,-0.359,0.218,0.165,0.179,-0.398,0.525,43.083,71.805,0,0
-0.097,0.051,0.108,0.102,0.111,0.139,-10.0,-10.0,0.0,0.0,-0.101,0.3,57.967,96.613,0,0
-0.098,0.058,0.116,0.104,0.138,0.185,-0.109,0.181,0.106,0.142,-0.1,0.48,51.564,85.941,0,0
0.115,0.078,0.18,0.17,0.184,0.172,-10.0,-10.0,0.0,0.0,0.117,0.391,57.823,96.372,0,0
0.112,0.085,0.17,0.162,0.169,0.129,0.109,0.262,0.177,0.179,0.12,0.518,53.668,89.447,0,0
0.36,0.059,0.118,0.113,0.161,0.141,-10.0,-10.0,0.0,0.0,0.349,0.311,50.275,83.793,0,0
0.351,0.045,0.115,0.11,0.151,0.153,0.352,0.182,0.165,0.156,0.354,0.465,49.089,81.815,0,0
0.366,0.076,0.17,0.136,0.131,0.189,-10.0,-10.0,0.0,0.0,0.312,0.374,41.652,69.42,0,0
0.364,0.062,0.173,0.139,0.132,0.177,0.317,0.227,0.122,0.192,0.312,0.551,38.625,64.375,0,0
-0.14,0.093,0.144,0.194,0.108,0.178,-10.0,-10.0,0.0,0.0,-0.16,0.418,50.419,84.033,0,0
-0.149,0.098,0.144,0.196,0.14,0.147,-0.162,0.285,0.098,0.178,-0.159,0.565,44.899,74.832,0,0
0.344,0.078,0.108,0.16,0.129,0.188,-10.0,-10.0,0.0,0.0,0.346,0.398,54.885,91.476,0,0
0.331,0.079,0.112,0.163,0.105,0.162,0.337,0.248,0.138,0.173,0.35,0.555,45.56,75.934,0,0
-0.107,0.09,0.17,0.193,0.113,0.121,-10.0,-10.0,0.0,0.0,-0.121,0.364,51.522,85.871,0,0
-0.107,0.098,0.158,0.187,0.178,0.178,-0.122,0.253,0.111,0.121,-0.12,0.543,46.959,78.266,0,0
-0.396,0.088,0.116,0.188,0.186,0.157,-10.0,-10.0,0.0,0.0,-0.404,0.404,46.312,77.187,0,0
-0.417,0.094,0.121,0.185,0.129,0.191,-0.413,0.28,0.19,0.162,-0.482,0.598,34.717,57.862,0,0
-0.424,0.074,0.119,0.162,0.179,0.155,-10.0,-10.0,0.0,0.0,-0.417,0.35,49.81,83.017,0,0
