box_0_x,box_0_z,box_0_l,box_0_h,box_c_l,box_c_h,box_1_x,box_1_z,box_1_l,box_1_h,a_x,a_z,reward,efficiency,collision_penalty,stack_penalty
0.395,0.067,0.178,0.163,0.128,0.083,-1.0,-1.0,0.0,0.0,0.18,0.88,33.271,72.119,0,-50.0
0.376,0.037,0.188,0.127,0.1,0.212,0.172,0.038,0.143,0.103,0.43,0.19,-15.08,24.866,-100.0,-50.0
0.404,0.077,0.157,0.135,0.108,0.088,-1.0,-1.0,0.0,0.0,0.07,0.95,18.873,48.123,0,-50.0
0.434,0.043,0.121,0.106,0.185,0.176,0.05,0.043,0.129,0.114,0.5,1.0,17.25,45.417,0,-50.0
0.132,0.072,0.11,0.127,0.106,0.165,-1.0,-1.0,0.0,0.0,0.16,0.1,-8.399,19.335,-100.0,0
0.117,0.032,0.089,0.134,0.16,0.205,0.347,0.021,0.095,0.125,-0.11,0.5,-1.488,14.186,0,-50.0
0.13,0.095,0.136,0.153,0.191,0.12,-1.0,-1.0,0.0,0.0,0.39,0.09,-19.911,16.814,-100.0,-50.0
0.074,0.08,0.133,0.165,0.162,0.174,0.494,0.108,0.184,0.15,0.44,0.45,7.579,12.633,0,0
0.348,0.073,0.187,0.148,0.107,0.146,-1.0,-1.0,0.0,0.0,0.11,0.26,4.903,58.172,-100.0,-50.0
0.775,0.043,0.246,0.168,0.103,0.143,0.08,0.1,0.12,0.177,0.23,0.03,-23.939,10.101,-100.0,-50.0
0.491,0.108,0.143,0.205,0.219,0.124,-1.0,-1.0,0.0,0.0,0.54,0.79,43.603,72.672,0,0
0.508,0.089,0.175,0.187,0.113,0.168,0.568,0.304,0.182,0.14,0.37,0.57,15.327,42.212,0,-50.0
0.474,0.099,0.19,0.146,0.162,0.185,-1.0,-1.0,0.0,0.0,0.98,0.77,10.342,33.904,0,-50.0
0.463,0.063,0.173,0.139,0.108,0.143,0.766,0.067,0.135,0.154,0.62,0.57,4.619,24.366,0,-50.0
0.499,0.074,0.147,0.134,0.14,0.094,-1.0,-1.0,0.0,0.0,0.05,0.86,16.382,43.971,0,-50.0
2.391,0.037,0.169,0.133,0.176,0.157,0.02,0.077,0.14,0.134,0.15,0.12,-29.495,0.841,-100.0,-50.0
0.48,0.068,0.182,0.099,0.121,0.156,-1.0,-1.0,0.0,0.0,0.46,0.69,45.038,75.064,0,0
0.512,0.083,0.206,0.14,0.141,0.095,0.471,0.217,0.114,0.177,0.56,0.86,17.071,45.119,0,-50.0
0.501,0.102,0.144,0.207,0.124,0.09,-1.0,-1.0,0.0,0.0,0.18,0.95,19.343,48.906,0,-50.0
0.521,0.087,0.159,0.182,0.167,0.183,0.132,0.007,0.137,0.12,0.7,0.63,21.204,52.008,0,-50.0
