box_0_x,box_0_z,box_0_l,box_0_h,box_c_l,box_c_h,box_1_x,box_1_z,box_1_l,box_1_h,a_x,a_z,reward,efficiency,collision_penalty,stack_penalty
0.493,0.056,0.155,0.173,0.123,0.136,-1.0,-1.0,0.0,0.0,0.96,0.81,5.263,25.44,0,-50.0
0.463,0.118,0.136,0.19,0.132,0.094,0.76,0.054,0.114,0.095,-0.02,0.18,-0.367,16.054,0,-50.0
0.473,0.092,0.076,0.13,0.228,0.147,-1.0,-1.0,0.0,0.0,0.75,0.56,30.334,67.224,0,-50.0
0.475,0.08,0.113,0.143,0.188,0.134,0.73,0.066,0.261,0.163,0.15,0.47,19.822,49.704,0,-50.0
0.477,0.079,0.087,0.221,0.169,0.225,-1.0,-1.0,0.0,0.0,0.2,0.73,25.732,59.555,0,-50.0
0.516,0.093,0.065,0.224,0.13,0.093,0.211,0.072,0.144,0.201,0.77,0.85,9.128,31.88,0,-50.0
0.443,0.061,0.153,0.117,0.152,0.082,-1.0,-1.0,0.0,0.0,0.48,0.78,52.714,87.858,0,0
0.502,0.072,0.148,0.143,0.152,0.134,0.456,0.195,0.133,0.139,0.37,0.83,19.877,49.796,0,-50.0
0.485,0.096,0.146,0.218,0.073,0.153,-1.0,-1.0,0.0,0.0,0.15,0.62,17.925,46.543,0,-50.0
0.478,0.077,0.111,0.21,0.159,0.119,0.159,0.046,0.103,0.127,0.7,0.63,15.43,42.385,0,-50.0
0.474,0.114,0.168,0.189,0.146,0.163,-1.0,-1.0,0.0,0.0,-0.01,0.42,15.827,43.045,0,-50.0
0.451,0.093,0.21,0.201,0.174,0.173,-0.018,0.082,0.154,0.164,0.43,0.83,19.99,33.318,0,0
0.419,0.124,0.144,0.212,0.206,0.115,-1.0,-1.0,0.0,0.0,0.59,0.32,-3.099,28.168,-100.0,0
0.439,0.09,0.126,0.202,0.207,0.124,0.695,0.062,0.194,0.13,0.44,0.94,4.122,23.537,0,-50.0
0.447,0.048,0.178,0.115,0.088,0.118,-1.0,-1.0,0.0,0.0,-0.01,0.11,11.589,35.983,0,-50.0
0.444,0.04,0.166,0.134,0.104,0.105,-0.019,0.054,0.137,0.078,0.11,0.41,18.036,46.727,0,-50.0
0.471,0.034,0.191,0.114,0.098,0.151,-1.0,-1.0,0.0,0.0,0.29,0.63,41.457,85.762,0,-50.0
0.432,0.095,0.188,0.118,0.124,0.103,0.143,0.088,0.111,0.141,0.34,0.07,-5.818,23.636,-100.0,0
0.485,0.107,0.158,0.124,0.133,0.222,-1.0,-1.0,0.0,0.0,0.21,0.36,25.56,59.267,0,-50.0
0.447,0.107,0.177,0.134,0.119,0.146,0.199,0.109,0.179,0.189,0.41,0.32,12.919,54.866,-100.0,0
0.268,0.084,0.099,0.181,0.12,0.195,-1.0,-1.0,0.0,0.0,0.8,0.37,10.343,33.905,0,-50.0
0.319,0.101,0.085,0.176,0.198,0.161,0.774,0.088,0.127,0.135,0.72,0.94,14.865,41.442,0,-50.0
0.295,0.044,0.136,0.078,0.181,0.114,-1.0,-1.0,0.0,0.0,0.04,0.74,27.887,63.145,0,-50.0
0.319,0.088,0.16,0.115,0.181,0.164,0.022,0.109,0.171,0.158,0.52,0.3,29.008,65.014,0,-50.0
0.325,0.028,0.176,0.143,0.119,0.18,-1.0,-1.0,0.0,0.0,0.71,0.01,4.661,24.436,0,-50.0
0.315,0.054,0.121,0.099,0.107,0.145,0.771,0.077,0.125,0.162,0.05,0.1,-17.466,20.889,-100.0,-50.0
0.31,0.093,0.155,0.138,0.162,0.149,-1.0,-1.0,0.0,0.0,-0.13,0.8,15.512,42.521,0,-50.0
0.312,0.094,0.093,0.181,0.098,0.163,-0.141,0.078,0.16,0.158,0.76,0.37,8.593,30.989,0,-50.0
0.277,0.076,0.172,0.166,0.126,0.159,-1.0,-1.0,0.0,0.0,0.16,0.36,44.534,90.89,0,-50.0
0.37,0.08,0.192,0.121,0.136,0.18,0.184,0.071,0.107,0.16,0.79,0.7,17.447,45.745,0,-50.0
0.299,0.077,0.106,0.159,0.111,0.158,-1.0,-1.0,0.0,0.0,0.23,0.58,32.904,71.508,0,-50.0
-0.006,0.063,0.118,0.139,0.128,0.136,-0.182,0.016,0.111,0.195,0.25,0.25,-14.406,9.322,-100.0,0
0.309,0.052,0.155,0.107,0.131,0.119,-1.0,-1.0,0.0,0.0,0.14,0.58,41.579,85.965,0,-50.0
5.565,0.073,0.178,0.147,0.164,0.132,0.27,0.084,0.124,0.176,0.05,0.12,-29.222,1.296,-100.0,-50.0
0.335,0.107,0.142,0.135,0.125,0.139,-1.0,-1.0,0.0,0.0,0.77,0.85,11.087,35.146,0,-50.0
0.359,0.085,0.1,0.147,0.122,0.074,0.726,0.049,0.132,0.116,0.13,0.69,10.564,34.275,0,-50.0
0.301,0.068,0.174,0.127,0.182,0.202,-1.0,-1.0,0.0,0.0,0.5,0.51,39.973,83.289,0,-50.0
0.362,0.066,0.172,0.118,0.145,0.139,0.493,0.094,0.193,0.181,-0.03,0.5,26.454,60.758,0,-50.0
0.222,0.045,0.14,0.172,0.208,0.133,-1.0,-1.0,0.0,0.0,0.12,0.1,-7.969,20.051,-100.0,0
0.229,0.02,0.085,0.159,0.249,0.123,0.392,0.084,0.218,0.169,-0.17,0.57,-1.631,13.947,0,-50.0
0.483,0.107,0.183,0.108,0.134,0.158,-1.0,-1.0,0.0,0.0,0.64,0.04,0.099,16.833,0,-50.0
0.445,0.076,0.167,0.135,0.136,0.192,0.827,0.073,0.147,0.11,0.3,0.44,1.02,18.368,0,-50.0
0.473,0.056,0.146,0.115,0.097,0.223,-1.0,-1.0,0.0,0.0,0.09,0.45,14.482,40.804,0,-50.0
0.459,0.1,0.148,0.15,0.149,0.128,0.08,0.082,0.069,0.195,0.22,0.52,27.034,61.725,0,-50.0
