box_0_x,box_0_z,box_0_l,box_0_h,box_c_l,box_c_h,box_1_x,box_1_z,box_1_l,box_1_h,a_x,a_z,reward,efficiency,collision_penalty,stack_penalty
0.337,0.107,0.141,0.178,0.113,0.137,-1.0,-1.0,0.0,0.0,0.344,0.346,28.46,80.767,-100.0,0
0.378,0.112,0.144,0.196,0.073,0.176,0.382,0.244,0.118,0.159,0.352,0.499,46.704,77.84,0,0
0.364,0.07,0.181,0.2,0.194,0.188,-1.0,-1.0,0.0,0.0,0.365,0.41,58.252,97.087,0,0
0.375,0.135,0.192,0.188,0.166,0.128,0.362,0.298,0.196,0.186,0.357,0.543,49.102,81.837,0,0
0.385,0.068,0.16,0.145,0.156,0.204,-1.0,-1.0,0.0,0.0,0.366,0.406,57.896,96.494,0,0
0.367,0.093,0.102,0.165,0.099,0.095,0.432,0.085,0.091,0.21,0.364,0.512,-19.65,17.25,-100.0,-50.0
0.362,0.069,0.127,0.132,0.15,0.112,-1.0,-1.0,0.0,0.0,0.366,0.312,44.761,74.603,0,0
0.351,0.058,0.065,0.129,0.138,0.2,0.361,0.167,0.181,0.127,0.311,0.505,33.576,55.961,0,0
0.382,0.07,0.183,0.179,0.071,0.159,-1.0,-1.0,0.0,0.0,0.399,0.363,44.427,74.046,0,0
0.36,0.118,0.164,0.178,0.158,0.149,0.371,0.242,0.156,0.136,0.398,0.522,38.327,63.879,0,0
0.358,0.045,0.145,0.118,0.162,0.1,-1.0,-1.0,0.0,0.0,0.366,0.355,55.224,92.041,0,0
0.396,0.072,0.129,0.151,0.147,0.168,0.366,0.26,0.176,0.121,0.367,0.552,48.674,81.124,0,0
0.353,0.084,0.167,0.16,0.107,0.136,-1.0,-1.0,0.0,0.0,0.311,0.323,43.232,72.054,0,0
0.392,0.068,0.162,0.114,0.107,0.143,0.311,0.242,0.129,0.135,0.311,0.461,39.582,65.97,0,0
0.366,0.089,0.13,0.159,0.151,0.15,-1.0,-1.0,0.0,0.0,0.366,0.4,52.89,88.151,0,0
0.367,0.068,0.139,0.184,0.11,0.155,0.38,0.262,0.154,0.164,0.323,0.543,39.781,66.303,0,0
0.347,0.042,0.169,0.187,0.099,0.121,-1.0,-1.0,0.0,0.0,0.321,0.333,10.21,67.018,-100.0,-50.0
0.388,0.04,0.117,0.171,0.141,0.115,0.306,0.043,0.119,0.071,0.297,0.272,21.279,52.133,0,-50.0
0.355,0.092,0.158,0.156,0.162,0.124,-1.0,-1.0,0.0,0.0,0.364,0.368,57.917,96.529,0,0
0.366,0.084,0.167,0.183,0.131,0.173,0.381,0.262,0.178,0.134,0.361,0.495,49.397,82.329,0,0
0.338,0.086,0.177,0.122,0.089,0.169,-1.0,-1.0,0.0,0.0,0.336,0.363,45.81,76.351,0,0
0.35,0.099,0.176,0.137,0.093,0.086,0.327,0.216,0.061,0.189,0.336,0.476,20.886,68.145,-100.0,0
0.371,0.065,0.198,0.111,0.098,0.164,-1.0,-1.0,0.0,0.0,0.323,0.357,45.596,75.994,0,0
0.36,0.084,0.186,0.138,0.175,0.11,0.296,0.193,0.144,0.125,0.323,0.48,40.45,67.417,0,0
0.375,0.101,0.167,0.196,0.148,0.212,-1.0,-1.0,0.0,0.0,0.366,0.401,55.579,92.632,0,0
0.358,0.061,0.141,0.128,0.194,0.122,0.373,0.258,0.168,0.215,0.366,0.536,45.407,75.679,0,0
0.375,0.058,0.087,0.164,0.155,0.184,-1.0,-1.0,0.0,0.0,0.366,0.379,52.549,87.583,0,0
0.371,0.07,0.077,0.154,0.183,0.157,0.326,0.207,0.18,0.188,0.364,0.537,44.267,73.779,0,0
0.359,0.088,0.161,0.174,0.157,0.087,-1.0,-1.0,0.0,0.0,0.366,0.355,33.854,89.757,-100.0,0
0.379,0.06,0.15,0.197,0.156,0.162,0.373,0.278,0.115,0.088,0.372,0.509,47.823,79.705,0,0
0.358,0.112,0.145,0.192,0.155,0.189,-1.0,-1.0,0.0,0.0,0.366,0.425,53.062,88.438,0,0
