box_0_x,box_0_z,box_0_l,box_0_h,box_c_l,box_c_h,box_1_x,box_1_z,box_1_l,box_1_h,a_x,a_z,reward,efficiency,collision_penalty,stack_penalty
0.304,0.099,0.13,0.169,0.235,0.117,-1.0,-1.0,0.0,0.0,0.306,0.337,-7.337999999999997,37.77,-100.0,-50.0
0.07,0.06,0.188,0.202,0.199,0.217,0.299,0.059,0.222,0.094,0.295,0.343,-20.1612,16.398,-100.0,-50.0
0.292,0.08,0.198,0.184,0.193,0.178,-1.0,-1.0,0.0,0.0,0.303,0.423,58.0308,96.718,0,0
0.288,0.102,0.185,0.181,0.137,0.179,0.272,0.285,0.214,0.23,0.283,0.6,51.8448,86.408,0,0
0.28,0.073,0.116,0.138,0.192,0.116,-1.0,-1.0,0.0,0.0,0.306,0.321,17.1922,61.987,-100.0,0
0.339,0.055,0.116,0.134,0.132,0.14,0.316,0.223,0.188,0.103,0.302,0.437,14.873199999999997,58.122,-100.0,0
0.311,0.092,0.192,0.097,0.099,0.119,-1.0,-1.0,0.0,0.0,0.258,0.3,22.848399999999998,71.414,-100.0,0
0.302,0.068,0.2,0.171,0.091,0.205,0.277,0.228,0.107,0.124,0.263,0.461,38.8422,64.737,0,0
0.331,0.029,0.146,0.14,0.134,0.143,-1.0,-1.0,0.0,0.0,0.334,0.371,45.8514,76.419,0,0
0.303,0.06,0.207,0.127,0.176,0.229,0.308,0.231,0.11,0.176,0.333,0.561,40.822799999999994,68.038,0,0
0.298,0.055,0.159,0.091,0.178,0.123,-1.0,-1.0,0.0,0.0,0.306,0.295,55.617,92.695,0,0
0.331,0.065,0.156,0.07,0.208,0.18,0.357,0.157,0.179,0.138,0.304,0.481,49.518,82.53,0,0
0.284,0.032,0.187,0.09,0.113,0.125,-1.0,-1.0,0.0,0.0,0.294,0.301,39.9234,66.539,0,0
0.287,0.034,0.208,0.099,0.098,0.186,0.286,0.182,0.084,0.152,0.293,0.472,39.29579999999999,65.493,0,0
0.3,0.077,0.149,0.195,0.098,0.144,-1.0,-1.0,0.0,0.0,0.264,0.42,44.3484,73.914,0,0
0.278,0.103,0.151,0.156,0.169,0.129,0.278,0.264,0.118,0.192,0.266,0.58,41.468999999999994,69.115,0,0
0.316,0.007,0.166,0.119,0.155,0.176,-1.0,-1.0,0.0,0.0,0.289,0.356,51.2616,85.436,0,0
0.3,0.097,0.196,0.109,0.164,0.149,0.248,0.229,0.142,0.145,0.289,0.492,46.706399999999995,77.844,0,0
0.285,0.073,0.184,0.178,0.139,0.159,-1.0,-1.0,0.0,0.0,0.266,0.377,46.284,77.14,0,0
0.315,0.064,0.209,0.152,0.121,0.167,0.28,0.258,0.133,0.178,0.266,0.523,42.8568,71.428,0,0
0.364,0.088,0.102,0.147,0.197,0.136,-1.0,-1.0,0.0,0.0,0.306,0.304,2.9268,54.878,-100.0,-50.0
0.277,0.081,0.094,0.144,0.098,0.159,0.577,0.057,0.225,0.127,0.578,0.312,27.811199999999996,46.352,0,0
0.286,0.053,0.189,0.096,0.129,0.167,-1.0,-1.0,0.0,0.0,0.279,0.365,45.37799999999999,75.63,0,0
0.294,0.077,0.204,0.133,0.181,0.091,0.289,0.217,0.128,0.157,0.278,0.485,20.413000000000004,67.355,-100.0,0
0.437,0.101,0.107,0.206,0.166,0.129,-1.0,-1.0,0.0,0.0,0.409,0.357,27.044800000000002,78.408,-100.0,0
0.395,0.083,0.143,0.157,0.166,0.114,0.374,0.289,0.137,0.082,0.413,0.49,43.836600000000004,73.061,0,0
0.428,0.062,0.092,0.077,0.131,0.104,-1.0,-1.0,0.0,0.0,0.409,0.253,29.929599999999994,83.216,-100.0,0
0.46,0.033,0.11,0.091,0.225,0.17,0.427,0.157,0.108,0.073,0.421,0.445,42.1656,70.276,0,0
0.428,0.1,0.124,0.139,0.163,0.17,-1.0,-1.0,0.0,0.0,0.409,0.404,47.4282,79.047,0,0
