box_0_x,box_0_z,box_0_l,box_0_h,box_c_l,box_c_h,box_1_x,box_1_z,box_1_l,box_1_h,a_x,a_z,reward,efficiency,collision_penalty,stack_penalty
0.244,0.054,0.116,0.115,0.189,0.17,-10.0,-10.0,0.0,0.0,-0.12,0.65,20.789,51.316,0,-50.0
0.239,0.051,0.113,0.104,0.117,0.119,-0.122,0.079,0.187,0.166,0.2,0.43,28.09,46.818,0,0
-0.303,0.101,0.173,0.192,0.181,0.173,-10.0,-10.0,0.0,0.0,0.38,0.18,8.26,30.434,0,-50.0
-0.313,0.086,0.17,0.181,0.142,0.181,0.42,0.079,0.188,0.167,0.09,0.21,-4.464,42.559,-100.0,-50.0
0.33,0.071,0.187,0.128,0.102,0.117,-10.0,-10.0,0.0,0.0,0.29,0.26,11.954,53.257,-100.0,0
0.323,0.066,0.188,0.144,0.136,0.123,0.294,0.194,0.11,0.118,0.27,0.95,30.018,50.031,0,0
0.29,0.061,0.154,0.124,0.106,0.111,-10.0,-10.0,0.0,0.0,0.26,0.39,48.076,80.128,0,0
0.293,0.066,0.168,0.115,0.156,0.139,0.257,0.173,0.108,0.115,0.29,0.91,49.62,82.701,0,0
0.042,0.092,0.134,0.182,0.132,0.157,-10.0,-10.0,0.0,0.0,0.44,0.75,18.039,46.732,0,-50.0
0.036,0.094,0.13,0.186,0.157,0.196,0.335,0.091,0.132,0.153,0.49,0.24,-6.477,39.204,-100.0,-50.0
-0.472,0.059,0.098,0.116,0.141,0.169,-10.0,-10.0,0.0,0.0,-0.2,0.86,22.631,54.385,0,-50.0
-0.475,0.055,0.125,0.115,0.186,0.134,-0.198,0.084,0.146,0.16,0.43,0.65,10.815,34.693,0,-50.0
0.39,0.055,0.106,0.129,0.112,0.122,-10.0,-10.0,0.0,0.0,-0.41,0.96,3.5,22.5,0,-50.0
0.384,0.053,0.102,0.129,0.098,0.113,-0.404,0.056,0.108,0.113,0.3,0.6,9.599,32.665,0,-50.0
0.371,0.085,0.114,0.184,0.182,0.19,-10.0,-10.0,0.0,0.0,-0.04,0.99,20.188,50.315,0,-50.0
0.58,0.048,0.111,0.189,0.112,0.113,-0.054,0.1,0.179,0.193,0.1,0.21,-20.867,15.221,-100.0,-50.0
0.473,0.064,0.164,0.146,0.102,0.148,-10.0,-10.0,0.0,0.0,0.11,0.74,20.247,50.413,0,-50.0
0.472,0.072,0.166,0.136,0.165,0.148,0.107,0.073,0.097,0.15,0.22,0.69,33.488,72.48,0,-50.0
0.206,0.082,0.135,0.177,0.122,0.148,-10.0,-10.0,0.0,0.0,-0.12,0.78,20.796,51.328,0,-50.0
0.203,0.08,0.139,0.186,0.139,0.145,-0.14,0.076,0.127,0.152,-0.24,0.3,-6.622,22.296,-100.0,0
0.111,0.05,0.107,0.111,0.186,0.163,-10.0,-10.0,0.0,0.0,0.41,0.97,23.564,55.941,0,-50.0
0.115,0.055,0.109,0.113,0.134,0.141,0.321,0.052,0.186,0.163,0.48,0.23,-14.61,25.65,-100.0,-50.0
-0.426,0.09,0.167,0.189,0.151,0.146,-10.0,-10.0,0.0,0.0,0.05,0.67,16.133,43.556,0,-50.0
-0.433,0.089,0.155,0.185,0.151,0.181,0.046,0.074,0.149,0.138,-0.05,0.55,28.601,64.336,0,-50.0
0.18,0.095,0.144,0.189,0.128,0.142,-10.0,-10.0,0.0,0.0,0.18,0.98,56.37,93.95,0,0
0.173,0.084,0.14,0.177,0.148,0.173,0.188,0.246,0.144,0.148,0.45,0.26,15.572,42.621,0,-50.0
0.198,0.083,0.146,0.166,0.1,0.109,-10.0,-10.0,0.0,0.0,0.38,0.05,10.247,33.746,0,-50.0
0.196,0.081,0.141,0.16,0.195,0.135,0.479,0.063,0.098,0.119,-0.48,0.4,5.3,25.501,0,-50.0
0.189,0.066,0.115,0.144,0.145,0.183,-10.0,-10.0,0.0,0.0,-0.37,0.92,10.248,33.747,0,-50.0
0.187,0.079,0.129,0.142,0.14,0.144,-0.367,0.102,0.138,0.178,0.34,0.05,0.602,17.671,0,-50.0
-0.379,0.104,0.179,0.196,0.146,0.111,-10.0,-10.0,0.0,0.0,-0.24,0.42,21.233,52.056,0,-50.0
-0.371,0.099,0.183,0.19,0.15,0.135,-0.044,0.056,0.142,0.11,0.13,0.46,21.648,52.748,0,-50.0
0.453,0.072,0.147,0.204,0.146,0.192,-10.0,-10.0,0.0,0.0,0.07,0.37,-17.113,4.811,-100.0,0
0.451,0.072,0.14,0.192,0.145,0.12,0.067,0.096,0.157,0.179,-0.25,0.48,-7.631,3.947,0,-50.0
0.249,0.059,0.194,0.122,0.2,0.188,-10.0,-10.0,0.0,0.0,0.3,0.4,45.345,75.576,0,0
0.255,0.061,0.202,0.124,0.126,0.187,0.302,0.221,0.198,0.189,-0.16,0.89,13.701,39.503,0,-50.0
0.003,0.084,0.115,0.165,0.197,0.202,-10.0,-10.0,0.0,0.0,0.06,0.62,27.839,63.065,0,-50.0
-0.021,0.044,0.119,0.18,0.107,0.176,0.152,0.052,0.187,0.208,0.25,0.34,-14.212,26.312,-100.0,-50.0
