box_0_x,box_0_z,box_0_l,box_0_h,box_c_l,box_c_h,box_1_x,box_1_z,box_1_l,box_1_h,a_x,a_z,reward,efficiency,collision_penalty,stack_penalty
0.025,0.076,0.128,0.154,0.171,0.135,0.024,0.249,0.133,0.191,0.025,0.529,42.649,71.082,0,0
-0.271,0.078,0.19,0.157,0.16,0.103,-10.0,-10.0,0.0,0.0,-0.295,0.309,-0.817,48.637,-100.0,-50.0
-0.528,0.049,0.19,0.157,0.127,0.147,-0.28,0.051,0.16,0.103,-0.309,0.299,-24.606,8.989,-100.0,-50.0
0.132,0.072,0.151,0.146,0.132,0.183,-10.0,-10.0,0.0,0.0,0.123,0.378,54.677,91.129,0,0
0.132,0.072,0.151,0.146,0.11,0.144,0.124,0.237,0.132,0.183,0.107,0.522,50.052,83.421,0,0
-0.14,0.071,0.123,0.144,0.144,0.134,-10.0,-10.0,0.0,0.0,-0.14,0.327,54.666,91.11,0,0
-0.141,0.071,0.123,0.144,0.155,0.14,-0.14,0.21,0.144,0.134,-0.139,0.467,46.636,77.727,0,0
-0.187,0.068,0.137,0.138,0.115,0.121,-10.0,-10.0,0.0,0.0,-0.195,0.308,34.108,90.181,-100.0,0
-0.191,0.068,0.137,0.138,0.149,0.107,-0.204,0.072,0.115,0.121,-0.193,0.415,-1.622,47.296,-100.0,-50.0
0.456,0.066,0.189,0.133,0.182,0.134,-10.0,-10.0,0.0,0.0,0.452,0.316,56.517,94.196,0,0
0.455,0.066,0.189,0.133,0.173,0.12,0.45,0.199,0.182,0.134,0.446,0.436,30.531,84.219,-100.0,0
0.299,0.095,0.118,0.191,0.183,0.133,-10.0,-10.0,0.0,0.0,0.3,0.373,45.778,76.298,0,0
0.298,0.095,0.118,0.191,0.118,0.122,0.289,0.257,0.183,0.133,0.313,0.495,40.786,67.978,0,0
0.326,0.098,0.183,0.197,0.177,0.14,-10.0,-10.0,0.0,0.0,0.328,0.386,57.886,96.478,0,0
0.322,0.098,0.183,0.197,0.102,0.1,0.33,0.076,0.177,0.14,0.319,0.486,-3.244,44.593,-100.0,-50.0
-0.097,0.095,0.111,0.191,0.197,0.146,-10.0,-10.0,0.0,0.0,-0.096,0.386,43.875,73.125,0,0
-0.098,0.095,0.111,0.191,0.117,0.171,-0.101,0.263,0.197,0.146,-0.07,0.557,36.237,60.396,0,0
-0.306,0.083,0.167,0.167,0.173,0.136,-10.0,-10.0,0.0,0.0,-0.306,0.352,57.707,96.179,0,0
-0.306,0.083,0.167,0.167,0.179,0.136,-0.302,0.234,0.173,0.136,-0.305,0.488,51.771,86.286,0,0
-0.118,0.075,0.165,0.152,0.184,0.127,-10.0,-10.0,0.0,0.0,-0.118,0.328,55.163,91.94,0,0
-0.119,0.075,0.165,0.152,0.141,0.193,-0.116,0.215,0.184,0.127,-0.141,0.521,44.97,74.951,0,0
