box_0_x,box_0_z,box_0_l,box_0_h,box_c_l,box_c_h,box_1_x,box_1_z,box_1_l,box_1_h,a_x,a_z,reward,efficiency,collision_penalty,stack_penalty
0.416,0.074,0.127,0.15,0.198,0.103,-10.0,-10.0,0.0,0.0,0.412,0.302,6.417,44.029,-100.0,0
0.415,0.074,0.127,0.15,0.138,0.111,0.451,0.201,0.198,0.103,0.431,0.413,-3.754,43.742,-100.0,-50.0
0.14,0.096,0.1,0.193,0.154,0.182,-10.0,-10.0,0.0,0.0,0.14,0.424,48.01,80.017,0,0
0.122,0.096,0.1,0.193,0.138,0.108,0.121,0.049,0.154,0.182,0.125,0.532,-18.154,19.743,-100.0,-50.0
-0.48,0.079,0.11,0.16,0.113,0.192,-10.0,-10.0,0.0,0.0,-0.479,0.401,57.429,95.716,0,0
-0.471,0.079,0.11,0.16,0.146,0.112,-0.467,0.049,0.113,0.192,-0.48,0.513,-2.712,45.48,-100.0,-50.0
0.201,0.061,0.146,0.124,0.116,0.127,-10.0,-10.0,0.0,0.0,0.201,0.3,52.797,87.995,0,0
0.198,0.061,0.146,0.124,0.119,0.11,0.209,0.074,0.116,0.127,0.201,0.41,-3.062,44.896,-100.0,-50.0
-0.107,0.05,0.155,0.101,0.104,0.192,-10.0,-10.0,0.0,0.0,-0.125,0.342,45.768,76.28,0,0
-0.107,0.05,0.155,0.101,0.111,0.12,-0.12,0.196,0.104,0.192,-0.125,0.462,21.358,68.93,-100.0,0
